"Statistic Label","Day","NACE Sector","UNIT","VALUE"
"Number of Employments","2022 June 20","Financial and insurance activities (K)","Number","23"
"Number of Employments","2022 June 20","Transportation and Storage (H)","Number","42"
"Number of Employments","2022 June 20","Information and communication (J)","Number","62"
"Number of Employments","2022 June 20","Public Administration and Defence (O)","Number","66"
"Number of Employments","2022 June 20","Education (P)","Number","75"
"Number of Employments","2022 June 20","Human Health and Social Work Activities (Q)","Number","90"
"Number of Employments","2022 June 20","Real estate activities (L)","Number","119"
"Number of Employments","2022 June 20","Professional, Scientific and Technical Activities (M)","Number","119"
"Number of Employments","2022 June 20","Agriculture, Forestry and Fishing (A)","Number","174"
"Number of Employments","2022 June 20","Construction (F)","Number","201"
"Number of Employments","2022 June 20","Administrative and Support Service Activities (N)","Number","258"
"Number of Employments","2022 June 20","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","336"
"Number of Employments","2022 June 20","Manufacturing (C)","Number","372"
"Number of Employments","2022 June 20","Wholesale and Retail Trade (G)","Number","700"
"Number of Employments","2022 June 20","Accommodation & Food Service Activities (I)","Number","2420"
"Number of Employments","2022 June 20","All NACE Economic Sectors","Number","5057"
"Number of Employments","2022 July 18","Financial and insurance activities (K)","Number","36"
"Number of Employments","2022 July 18","Transportation and Storage (H)","Number","58"
"Number of Employments","2022 July 18","Information and communication (J)","Number","89"
"Number of Employments","2022 July 18","Public Administration and Defence (O)","Number","90"
"Number of Employments","2022 July 18","Education (P)","Number","120"
"Number of Employments","2022 July 18","Human Health and Social Work Activities (Q)","Number","126"
"Number of Employments","2022 July 18","Real estate activities (L)","Number","156"
"Number of Employments","2022 July 18","Professional, Scientific and Technical Activities (M)","Number","167"
"Number of Employments","2022 July 18","Agriculture, Forestry and Fishing (A)","Number","205"
"Number of Employments","2022 July 18","Construction (F)","Number","280"
"Number of Employments","2022 July 18","Administrative and Support Service Activities (N)","Number","389"
"Number of Employments","2022 July 18","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","444"
"Number of Employments","2022 July 18","Manufacturing (C)","Number","537"
"Number of Employments","2022 July 18","Wholesale and Retail Trade (G)","Number","886"
"Number of Employments","2022 July 18","Accommodation & Food Service Activities (I)","Number","3059"
"Number of Employments","2022 July 18","All NACE Economic Sectors","Number","6642"
"Number of Employments","2022 August 15","Financial and insurance activities (K)","Number","49"
"Number of Employments","2022 August 15","Transportation and Storage (H)","Number","78"
"Number of Employments","2022 August 15","Information and communication (J)","Number","124"
"Number of Employments","2022 August 15","Public Administration and Defence (O)","Number","104"
"Number of Employments","2022 August 15","Education (P)","Number","150"
"Number of Employments","2022 August 15","Human Health and Social Work Activities (Q)","Number","154"
"Number of Employments","2022 August 15","Real estate activities (L)","Number","190"
"Number of Employments","2022 August 15","Professional, Scientific and Technical Activities (M)","Number","206"
"Number of Employments","2022 August 15","Agriculture, Forestry and Fishing (A)","Number","241"
"Number of Employments","2022 August 15","Construction (F)","Number","359"
"Number of Employments","2022 August 15","Administrative and Support Service Activities (N)","Number","548"
"Number of Employments","2022 August 15","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","535"
"Number of Employments","2022 August 15","Manufacturing (C)","Number","660"
"Number of Employments","2022 August 15","Wholesale and Retail Trade (G)","Number","1098"
"Number of Employments","2022 August 15","Accommodation & Food Service Activities (I)","Number","3587"
"Number of Employments","2022 August 15","All NACE Economic Sectors","Number","8083"
"Number of Employments","2022 September 26","Financial and insurance activities (K)","Number","87"
"Number of Employments","2022 September 26","Transportation and Storage (H)","Number","103"
"Number of Employments","2022 September 26","Information and communication (J)","Number","156"
"Number of Employments","2022 September 26","Public Administration and Defence (O)","Number","133"
"Number of Employments","2022 September 26","Education (P)","Number","217"
"Number of Employments","2022 September 26","Human Health and Social Work Activities (Q)","Number","209"
"Number of Employments","2022 September 26","Real estate activities (L)","Number","235"
"Number of Employments","2022 September 26","Professional, Scientific and Technical Activities (M)","Number","303"
"Number of Employments","2022 September 26","Agriculture, Forestry and Fishing (A)","Number","314"
"Number of Employments","2022 September 26","Construction (F)","Number","480"
"Number of Employments","2022 September 26","Administrative and Support Service Activities (N)","Number","798"
"Number of Employments","2022 September 26","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","647"
"Number of Employments","2022 September 26","Manufacturing (C)","Number","995"
"Number of Employments","2022 September 26","Wholesale and Retail Trade (G)","Number","1551"
"Number of Employments","2022 September 26","Accommodation & Food Service Activities (I)","Number","4461"
"Number of Employments","2022 September 26","All NACE Economic Sectors","Number","10689"
"Number of Employments","2022 November 07","Financial and insurance activities (K)","Number","97"
"Number of Employments","2022 November 07","Transportation and Storage (H)","Number","143"
"Number of Employments","2022 November 07","Information and communication (J)","Number","206"
"Number of Employments","2022 November 07","Public Administration and Defence (O)","Number","150"
"Number of Employments","2022 November 07","Education (P)","Number","298"
"Number of Employments","2022 November 07","Human Health and Social Work Activities (Q)","Number","270"
"Number of Employments","2022 November 07","Real estate activities (L)","Number","294"
"Number of Employments","2022 November 07","Professional, Scientific and Technical Activities (M)","Number","376"
"Number of Employments","2022 November 07","Agriculture, Forestry and Fishing (A)","Number","364"
"Number of Employments","2022 November 07","Construction (F)","Number","601"
"Number of Employments","2022 November 07","Administrative and Support Service Activities (N)","Number","1023"
"Number of Employments","2022 November 07","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","775"
"Number of Employments","2022 November 07","Manufacturing (C)","Number","1280"
"Number of Employments","2022 November 07","Wholesale and Retail Trade (G)","Number","1934"
"Number of Employments","2022 November 07","Accommodation & Food Service Activities (I)","Number","5147"
"Number of Employments","2022 November 07","All NACE Economic Sectors","Number","12958"
"Number of Employments","2022 December 12","Financial and insurance activities (K)","Number","106"
"Number of Employments","2022 December 12","Transportation and Storage (H)","Number","172"
"Number of Employments","2022 December 12","Information and communication (J)","Number","240"
"Number of Employments","2022 December 12","Public Administration and Defence (O)","Number","176"
"Number of Employments","2022 December 12","Education (P)","Number","343"
"Number of Employments","2022 December 12","Human Health and Social Work Activities (Q)","Number","318"
"Number of Employments","2022 December 12","Real estate activities (L)","Number","317"
"Number of Employments","2022 December 12","Professional, Scientific and Technical Activities (M)","Number","409"
"Number of Employments","2022 December 12","Agriculture, Forestry and Fishing (A)","Number","417"
"Number of Employments","2022 December 12","Construction (F)","Number","673"
"Number of Employments","2022 December 12","Administrative and Support Service Activities (N)","Number","1210"
"Number of Employments","2022 December 12","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","885"
"Number of Employments","2022 December 12","Manufacturing (C)","Number","1509"
"Number of Employments","2022 December 12","Wholesale and Retail Trade (G)","Number","2258"
"Number of Employments","2022 December 12","Accommodation & Food Service Activities (I)","Number","5594"
"Number of Employments","2022 December 12","All NACE Economic Sectors","Number","14627"
"Number of Employments","2023 February 14","Financial and insurance activities (K)","Number","115"
"Number of Employments","2023 February 14","Transportation and Storage (H)","Number","219"
"Number of Employments","2023 February 14","Information and communication (J)","Number","296"
"Number of Employments","2023 February 14","Public Administration and Defence (O)","Number","186"
"Number of Employments","2023 February 14","Education (P)","Number","383"
"Number of Employments","2023 February 14","Human Health and Social Work Activities (Q)","Number","382"
"Number of Employments","2023 February 14","Real estate activities (L)","Number","361"
"Number of Employments","2023 February 14","Professional, Scientific and Technical Activities (M)","Number","476"
"Number of Employments","2023 February 14","Agriculture, Forestry and Fishing (A)","Number","490"
"Number of Employments","2023 February 14","Construction (F)","Number","815"
"Number of Employments","2023 February 14","Administrative and Support Service Activities (N)","Number","1430"
"Number of Employments","2023 February 14","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","963"
"Number of Employments","2023 February 14","Manufacturing (C)","Number","1780"
"Number of Employments","2023 February 14","Wholesale and Retail Trade (G)","Number","2674"
"Number of Employments","2023 February 14","Accommodation & Food Service Activities (I)","Number","6204"
"Number of Employments","2023 February 14","All NACE Economic Sectors","Number","16774"
"Number of Employments","2023 March 13","Financial and insurance activities (K)","Number","125"
"Number of Employments","2023 March 13","Transportation and Storage (H)","Number","246"
"Number of Employments","2023 March 13","Information and communication (J)","Number","315"
"Number of Employments","2023 March 13","Public Administration and Defence (O)","Number","194"
"Number of Employments","2023 March 13","Education (P)","Number","416"
"Number of Employments","2023 March 13","Human Health and Social Work Activities (Q)","Number","416"
"Number of Employments","2023 March 13","Real estate activities (L)","Number","378"
"Number of Employments","2023 March 13","Professional, Scientific and Technical Activities (M)","Number","508"
"Number of Employments","2023 March 13","Agriculture, Forestry and Fishing (A)","Number","537"
"Number of Employments","2023 March 13","Construction (F)","Number","901"
"Number of Employments","2023 March 13","Administrative and Support Service Activities (N)","Number","1515"
"Number of Employments","2023 March 13","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1048"
"Number of Employments","2023 March 13","Manufacturing (C)","Number","1920"
"Number of Employments","2023 March 13","Wholesale and Retail Trade (G)","Number","2940"
"Number of Employments","2023 March 13","Accommodation & Food Service Activities (I)","Number","6642"
"Number of Employments","2023 March 13","All NACE Economic Sectors","Number","18101"
"Number of Employments","2023 April 17","Financial and insurance activities (K)","Number","156"
"Number of Employments","2023 April 17","Transportation and Storage (H)","Number","278"
"Number of Employments","2023 April 17","Information and communication (J)","Number","341"
"Number of Employments","2023 April 17","Public Administration and Defence (O)","Number","206"
"Number of Employments","2023 April 17","Education (P)","Number","446"
"Number of Employments","2023 April 17","Human Health and Social Work Activities (Q)","Number","470"
"Number of Employments","2023 April 17","Real estate activities (L)","Number","398"
"Number of Employments","2023 April 17","Professional, Scientific and Technical Activities (M)","Number","553"
"Number of Employments","2023 April 17","Agriculture, Forestry and Fishing (A)","Number","591"
"Number of Employments","2023 April 17","Construction (F)","Number","1014"
"Number of Employments","2023 April 17","Administrative and Support Service Activities (N)","Number","1669"
"Number of Employments","2023 April 17","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1124"
"Number of Employments","2023 April 17","Manufacturing (C)","Number","2179"
